GeoFIPS,GeoName,CountyFIPS,CountyName
21300,"Elmira, NY (MA)",36015,"Chemung, NY"
21340,"El Paso, TX (MA)",48141,"El Paso, TX"
21340,"El Paso, TX (MA)",48229,"Hudspeth, TX"
21420,"Enid, OK (MA)",40047,"Garfield, OK"
21500,"Erie, PA (MA)",42049,"Erie, PA"
21660,"Eugene-Springfield, OR (MA)",41039,"Lane, OR"
21780,"Evansville, IN-KY (MA)",18129,"Posey, IN"
21780,"Evansville, IN-KY (MA)",18163,"Vanderburgh, IN"
21780,"Evansville, IN-KY (MA)",18173,"Warrick, IN"
21780,"Evansville, IN-KY (MA)",21101,"Henderson, KY"
21820,"Fairbanks, AK (MA)",2090,"Fairbanks North Star Borough, AK"
22020,"Fargo, ND-MN (MA)",27027,"Clay, MN"
22020,"Fargo, ND-MN (MA)",38017,"Cass, ND"
22140,"Farmington, NM (MA)",35045,"San Juan, NM"
22180,"Fayetteville, NC (MA)",37051,"Cumberland, NC"
22180,"Fayetteville, NC (MA)",37085,"Harnett, NC"
22180,"Fayetteville, NC (MA)",37093,"Hoke, NC"
